keys,pt_BR
461A36_81C219,"Eu me pergunto onde ele poderia estar. Não tenho boas notícias..."
461A36_95DBF4,"Você ouve alguém chamando. É a voz de Ello, mas não consegue vê-lo em lugar algum"
461A36_8210D9,"Acorde! Não acredite em nada. Isto é um pesadelo, não é real"
461A36_0DD590,"Não consigo acordar você, mas este é o seu sonho, então mude-o como quiser"
461A36_7E7EFB,"Você fica pensativo enquanto Chimera continua conversando trivialidades ao telefone, dizendo que você vai encontrar o pior"
461A36_902FD3,"Chimera não pode machucar você. Eu estou protegendo você"
461A36_B63A21,"Você quebra o celular e entra no corredor"
461A36_85A560,"Você encontra um número infinito de portas"
461A36_746C61,"Você ainda consegue ouvir Chimera"
461A36_4EEA8B,"Nenhuma delas é a saída"
461A36_6800E9,"Você entra pela porta à esquerda. Não consegue ver nada porque está escuro, então fecha a porta e se encontra novamente no mesmo corredor"
461A36_911BD0,"Você entra pela porta à direita, e também está escuro. Você fecha a porta e encontra sua família, todos com os olhos vermelhos. Alguns têm expressões de ódio, enquanto outros parecem tristes"
461A36_911ED2,"Onde você estava? Estávamos esperando por você, e você nunca veio"
461A36_AAE657,"Tire-nos daqui... Você vai nos abandonar? Vai nos deixar aqui para sofrer?"
461A36_1104E8,"Você não se aproxima deles e fica cada vez mais desesperado"
461A36_4A6790,"Você começa a pensar sobre o que tudo isso significa... Então volta ao corredor anterior e fecha a porta"
461A36_7CC764,"As portas são inúteis. São apenas uma distração"
461A36_616168,"Você continua seguindo em frente, às vezes correndo e às vezes caminhando, em direção ao fim do corredor"
461A36_7DC11D,"Mas você ainda não consegue encontrar uma saída"
461A36_D65757,"Então você fecha os olhos e respira fundo. Vê muitas cores na escuridão"
461A36_B135D4,"Nada de especial acontece, então você pensa em uma porta de saída... Uma porta de saída"
461A36_FBE98E,"Você a vê e se move em direção a ela..."
461A36_550B06,"Você a abre, e a escuridão é dissipada pela luz..."
461A36_2B3BAB,"Obrigado por jogar"
461A36_0FB803,"Fim da demo"
461A36_32AE92,"A história continua no jogo completo"
461A36_E4AEC3,"clique no botão de sair"
461A36_D02DA4,"Bem, agora é hora..."
461A36_9AE438,"Procurar Felix"
461A36_8174B8,"Você se prepara e até pega a caixa de transporte do gato para evitar que ele fuja novamente"
461A36_CF6F55,"Você sai de casa, atravessa a rua e chega à beira da floresta"
461A36_6958B2,"Você começa a explorar novamente e ouve pássaros cantando"
461A36_404503,"Você marca as trilhas que planeja seguir no mapa do celular"
461A36_E7C143,"para poder procurar o gato..."
461A36_AE3A9E,"Você começa sua jornada e vê muitos animais selvagens na floresta. Em geral, eles não representam nenhuma ameaça para você"
461A36_411BA9,"Em certo momento, você decide se sentar e descansar. Você tira uma pequena garrafa de água para se hidratar e um lanche"
461A36_DF10C1,"Quando está quase terminando seu lanche, você ouve um barulho"
461A36_1F12EB,"É um cervo, nada incomum... mas há algo estranho nele"
461A36_37408E,"Você continua olhando para ele, tentando identificar o que está errado, e então percebe"
461A36_0FB71D,"ele tem olhos vermelhos"
461A36_6AE928,"Ele encara você, faz um barulho e avança em sua direção"
461A36_0CD246,"Por sorte, ele erra e você consegue se afastar um pouco... Pense em uma maneira de escapar"
461A36_83982D,"Subir rapidamente em uma árvore"
461A36_83481A,"Correr"
461A36_6C2CB1,"Você refaz parte do caminho que já percorreu, tentando despistar o cervo. Depois de alguns minutos, consegue escapar dele"
461A36_8B4A73,"Você se pergunta se deveria procurar por outra rota ou se já é hora de voltar para casa e se preparar para o trabalho"
461A36_C6AFAF,"Você volta para casa, deixa seus pertences lá e se prepara para ir trabalhar"
461A36_92EEF4,"Você sobe em uma árvore não muito alta enquanto escapa por pouco do cervo. Ele tenta alcançá-lo, mas não consegue"
461A36_F5882A,"Então ele simplesmente fica encarando você, e você começa a se perguntar quanto tempo isso vai durar..."
461A36_924EE3,"Quanto mais tempo você fica, mais tempo perde, então começa a se perguntar como Ello chegou a esta floresta em primeiro lugar e por que uma floresta em vez de algum lugar onde ele fosse adorado, como uma igreja"
461A36_6C7DCC,"Depois de alguns minutos, você tenta jogar o resto do seu lanche no cervo para ver se ele ao menos se distrai, e funciona"
461A36_EED5C4,"O cervo se aproxima para comer o lanche e, nesse momento, você tenta descer por trás da árvore. Quando seus pés tocam o chão, você corre para pegar a caixa de transporte do gato que estava no chão e sai correndo"
461A36_CBEF16,"Você refaz o caminho"
461A36_FF205B,"E decide voltar para casa imediatamente, antes que outro animal apareça e ataque você"
461A36_EFF432,"Você volta para casa, deixa suas coisas lá e se prepara para ir trabalhar"
